event_id,question,answer
1,event_id 1 where do you live?,event_id 1 my favorite movie genre is genre_1.
2,event_id 2 where do you live?,event_id 2 my dream job is dream_job_2.
3,event_id 3 what is your favorite food?,event_id 3 I live in city_3.
4,event_id 4 what is your favorite hobby?,event_id 4 my current job is job_4.
5,event_id 5 what is your favorite color?,event_id 5 my favorite color is color_5.
6,event_id 6 what language do you speak most often?,event_id 6 my current job is job_6.
7,event_id 7 what is your favorite color?,event_id 7 my preferred learning style is style_7.
8,event_id 8 what is your preferred learning style?,event_id 8 my favorite food is food_8.
9,event_id 9 what is your favorite movie genre?,event_id 9 my favorite movie genre is genre_9.
10,event_id 10 what language do you speak most often?,event_id 10 my favorite programming language is lang_10.
11,event_id 11 what is your favorite programming language?,event_id 11 my preferred learning style is style_11.
12,event_id 12 what is your favorite programming language?,event_id 12 my favorite programming language is lang_12.
13,event_id 13 what is your current job?,event_id 13 my favorite programming language is lang_13.
14,event_id 14 what is your favorite programming language?,event_id 14 my dream job is dream_job_14.
15,event_id 15 where do you live?,event_id 15 my favorite color is color_15.
16,event_id 16 what is your favorite hobby?,event_id 16 my favorite programming language is lang_16.
17,event_id 17 what is your favorite programming language?,event_id 17 I live in city_17.
18,event_id 18 what is your favorite programming language?,event_id 18 my current job is job_18.
19,event_id 19 where do you live?,event_id 19 my current job is job_19.
20,event_id 20 what is your dream job?,event_id 20 my preferred learning style is style_20.
21,event_id 21 what is your favorite color?,event_id 21 my current job is job_21.
22,event_id 22 where do you live?,event_id 22 I live in city_22.
23,event_id 23 what language do you speak most often?,event_id 23 my favorite movie genre is genre_23.
24,event_id 24 what is your favorite movie genre?,event_id 24 I live in city_24.
25,event_id 25 what is your favorite hobby?,event_id 25 my favorite food is food_25.
26,event_id 26 where do you live?,event_id 26 my favorite color is color_26.
27,event_id 27 what is your dream job?,event_id 27 my favorite hobby is hobby_27.
28,event_id 28 what is your favorite color?,event_id 28 I mostly speak language_28.
29,event_id 29 what is your preferred learning style?,event_id 29 I mostly speak language_29.
30,event_id 30 what language do you speak most often?,event_id 30 my favorite programming language is lang_30.
31,event_id 31 what is your favorite hobby?,event_id 31 I live in city_31.
